Player,Runs,Fours,Sixes,Dots,Wickets,RunsConceded,Overs,StrikeRate,Economy,PerformanceScore
Chandrapaul Hemraj,326,0.0,0.0,0.0,0,9,1.1,32600.0,4.285714285714286,326
Chandrasekar Ganapathy,161,0.0,0.0,0.0,0,13,1.0,16100.0,6.5,161
Charl Langeveldt,4638,0.0,0.0,0.0,37,873,145.3,463800.0,5.9671907040328085,5563
Chaturanga de Silva,1076,0.0,0.0,0.0,1,135,20.0,107600.0,6.428571428571429,1101
Chetanya Nanda,437,0.0,0.0,0.0,2,57,8.0,43700.0,6.333333333333333,487
Cheteshwar Pujara,143,0.0,0.0,0.0,0,2,1.0,14300.0,1.0,143
Chris Barnwell,419,0.0,0.0,0.0,1,39,4.0,41900.0,7.8,444
Chris Cairns,443,0.0,0.0,0.0,0,25,5.0,44300.0,4.166666666666667,443
Chris Gayle,24506,0.0,0.0,0.0,61,2620,465.5,2450600.0,5.616291532690247,26031
Chris Green,8730,0.0,0.0,0.0,45,1277,173.5,873000.0,7.318051575931232,9855
Chris Jordan,27040,0.0,0.0,0.0,177,5236,815.0,2704000.0,6.416666666666667,31465
Chris Lynn,757,0.0,0.0,0.0,3,75,11.0,75700.0,6.25,832
Chris Martin,11381,0.0,0.0,0.0,70,2310,704.5,1138100.0,3.274273564847626,13131
Chris Morris,25828,0.0,0.0,0.0,177,4841,742.8,2582800.0,6.508470018822265,30253
Chris Mpofu,2099,0.0,0.0,0.0,15,427,67.9,209900.0,6.197387518142235,2474
Chris Sabburg,149,0.0,0.0,0.0,0,5,1.0,14900.0,2.5,149
Chris Simpson,166,0.0,0.0,0.0,1,25,3.0,16600.0,6.25,191
Chris Sole,365,0.0,0.0,0.0,0,72,8.0,36500.0,8.0,365
Chris Swan,104,0.0,0.0,0.0,1,16,4.0,10400.0,3.2,129
Chris Tremain,8636,0.0,0.0,0.0,48,1632,208.7,863600.0,7.782546494992848,9836
Chris Tremlett,6969,0.0,0.0,0.0,43,1408,407.6,696900.0,3.4459128732256485,8044
Chris Woakes,44575,0.0,0.0,0.0,265,7910,1756.2,4457500.0,4.501479626678807,51200
Clint Hinchliffe,2450,0.0,0.0,0.0,11,278,33.0,245000.0,8.176470588235293,2725
Clint McKay,15952,0.0,0.0,0.0,115,3016,499.2,1595200.0,6.029588164734107,18827
Clive Rose,8928,0.0,0.0,0.0,28,1304,157.5,892800.0,8.227129337539433,9628
Colin Ingram,1204,0.0,0.0,0.0,1,103,12.0,120400.0,7.923076923076923,1229
Colin Munro,6210,0.0,0.0,0.0,11,558,91.4,621000.0,6.038961038961038,6485
